who	_who_
plays	_plays_
luke	B-character.name
on	_on_
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name

show	_show_
credits	_credits_
for	_for_
the	B-movie.name
godfather	I-movie.name

who	_who_
was	_was_
the	_the_
main	_main_
actor	_actor_
in	_in_
the	B-movie.name
exorcist	I-movie.name

find	_find_
the	_the_
female	_female_
actress	_actress_
from	_from_
the	_the_
movie	_movie_
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name

who	_who_
played	_played_
dory	B-character.name
on	_on_
finding	B-movie.name
nemo	I-movie.name

who	_who_
was	_was_
the	_the_
female	_female_
lead	_lead_
in	_in_
resident	B-movie.name
evil	I-movie.name

who	_who_
played	_played_
guido	B-character.name
in	_in_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	_who_
was	_was_
the	_the_
co-star	_co-star_
in	_in_
shoot	B-movie.name
to	I-movie.name
kill	I-movie.name

find	_find_
the	_the_
guy	_guy_
who	_who_
plays	_plays_
charlie	B-character.name
on	_on_
charlie	B-movie.name
's	I-movie.name
angels	I-movie.name

cast	_cast_
and	_and_
crew	_crew_
of	_of_
movie	_movie_
the	B-movie.name
campaign	I-movie.name

cast	_cast_
and	_and_
crew	_crew_
of	_of_
the	B-movie.name
campaign	I-movie.name

who	_who_
plays	_plays_
in	_in_
the	_the_
movie	_movie_
the	B-movie.name
campaign	I-movie.name

who	_who_
starred	_starred_
in	_in_
the	B-movie.name
campaign	I-movie.name

who	_who_
were	_were_
the	_the_
crew	_crew_
for	_for_
the	B-movie.name
campaign	I-movie.name

who	_who_
was	_was_
the	_the_
lead	_lead_
man	_man_
in	_in_
taxi	B-movie.name
driver	I-movie.name

star	_star_
of	_of_
twilight	B-movie.name

who	_who_
stars	_stars_
in	_in_
vulgaria	B-movie.name

what	_what_
are	_are_
the	_the_
names	_names_
of	_of_
female	_female_
actors	_actors_
who	_who_
played	_played_
in	_in_
lost	B-movie.name

can	_can_
i	_i_
see	_see_
the	_the_
set	_set_
list	_list_
and	_and_
cast	_cast_
for	_for_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

cast	_cast_
and	_and_
crew	_crew_
of	_of_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

show	_show_
cast	_cast_
and	_and_
crew	_crew_
for	_for_
the	_the_
movie	_movie_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

what	_what_
's	_'s_
the	_the_
cast	_cast_
for	_for_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	_who_
played	_played_
in	_in_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	_who_
played	_played_
in	_in_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	_who_
was	_was_
in	_in_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	_who_
were	_were_
roberto	B-actor.name
benigni	I-actor.name
's	_'s_
costars	_costars_
on	_on_
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

i	_i_
am	_am_
looking	_looking_
for	_for_
the	_the_
actor	_actor_
that	_that_
played	_played_
in	_in_
pretty	B-movie.name
women	I-movie.name

star	_star_
of	_of_
troy	B-movie.name

who	_who_
played	_played_
robin	B-character.name
in	_in_
batman	B-movie.name
forever	I-movie.name

find	_find_
the	_the_
male	_male_
actor	_actor_
from	_from_
